s3 uri,guest_name,job_name,language_code,vocab_name,categories,channel_identification,max_speakers,show_pii,show_transcript
s3://pse-audio-files/EFRL-1990-02-17-1.mp3,unknown,EFRL-1990-02-17-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1990-02-24-1.mp3,unknown,EFRL-1990-02-24-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1990-03-03-1.mp3,unknown,EFRL-1990-03-03-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1990-03-10-1.mp3,unknown,EFRL-1990-03-10-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1990-03-17-1.mp3,unknown,EFRL-1990-03-17-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1990-03-24-1.mp3,unknown,EFRL-1990-03-24-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1990-03-31-1.mp3,unknown,EFRL-1990-03-31-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1990-04-07-1.mp3,unknown,EFRL-1990-04-07-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1990-04-14-1.mp3,unknown,EFRL-1990-04-14-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1990-04-21-1.mp3,unknown,EFRL-1990-04-21-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1990-04-28-1.mp3,unknown,EFRL-1990-04-28-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1990-05-05-1.mp3,unknown,EFRL-1990-05-05-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1990-05-12-1.mp3,unknown,EFRL-1990-05-12-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1990-05-19-1.mp3,unknown,EFRL-1990-05-19-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1990-05-26-1.mp3,unknown,EFRL-1990-05-26-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1990-06-02-1.mp3,unknown,EFRL-1990-06-02-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1990-06-09-1.mp3,unknown,EFRL-1990-06-09-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1990-06-16-1.mp3,unknown,EFRL-1990-06-16-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1990-06-23-1.mp3,unknown,EFRL-1990-06-23-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1990-06-30-1.mp3,unknown,EFRL-1990-06-30-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1990-07-07-1.mp3,unknown,EFRL-1990-07-07-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1990-07-14-1.mp3,unknown,EFRL-1990-07-14-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1990-07-21-1.mp3,unknown,EFRL-1990-07-21-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1990-07-28-1.mp3,unknown,EFRL-1990-07-28-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1990-08-04-1.mp3,unknown,EFRL-1990-08-04-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1990-08-11-1.mp3,unknown,EFRL-1990-08-11-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1990-08-18-1.mp3,unknown,EFRL-1990-08-18-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
